Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
7038b845-9098-400c-a645-dc647dbebd79,"2020-06-12, 08:30:55 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udp3log""}]",,ap-east-1,,1.36.60.155
a0eebbac-4002-41f8-820d-e9a40d9c94af,"2020-06-12, 08:30:55 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,ap-east-1,,1.36.60.155
e1460b88-b466-40b6-8067-512157a30559,"2020-06-12, 08:30:55 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-east-1:095580927568:trail/Udacity_Trail""}]",,ap-east-1,,1.36.60.155
e81e9f5f-c2b8-479c-91da-6a2fe0248284,"2020-06-12, 08:30:55 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-east-1:095580927568:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udp3log""}]",,ap-east-1,,1.36.60.155
9402aeaa-f2cf-4100-ae50-f04244632dfe,"2020-06-12, 08:30:54 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udp3log""}]",,ap-east-1,,1.36.60.155
839d9f96-8a36-4224-bd0d-bbeb49bf3291,"2020-06-12, 08:30:38 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtraillog""}]",,ap-east-1,BucketAlreadyExists,1.36.60.155
80970087-b164-46ee-a62d-5700961d3537,"2020-06-12, 08:26:51 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
0bd04693-9408-4d93-b139-275d72704bbf,"2020-06-12, 08:26:05 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,1.36.60.155
c2218a07-0425-4e14-aee9-877f4f0e1720,"2020-06-12, 08:25:27 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,1.36.60.155
47879e6f-fe30-476c-9675-750f8ccda6fe,"2020-06-12, 08:25:25 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,1.36.60.155
e27073a4-9ec7-45ee-b091-ed0d9228c0a2,"2020-06-12, 08:25:25 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::095580927568:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDARMQIRGZIFWTDMKP63""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,1.36.60.155
23d24fcc-0131-4869-9c97-398c0914ed77,"2020-06-12, 08:24:13 PM",root,ConsoleLogin,,,,us-east-1,,1.36.60.155
45026839-883a-46b5-be58-a6849f218716,"2020-06-12, 08:21:57 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
a62465cb-ea68-458b-acd8-78577bdbe25c,"2020-06-12, 08:20:54 PM",Administrator,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,1.36.60.155
fb4f1d19-d26f-422d-be8e-84e95a13a246,"2020-06-12, 08:20:07 PM",Administrator,ConsoleLogin,,,,us-east-1,,1.36.60.155
3990e161-2dc7-4a2a-adb3-24f44709012a,"2020-06-12, 08:17:41 PM",Administrator,GenerateServiceLastAccessedDetails,,,,us-east-1,,1.36.60.155
25e4fe3c-4e31-4dcd-b78e-cf72836bca83,"2020-06-12, 08:16:47 PM",Administrator,ConsoleLogin,,,,us-east-1,,1.36.60.155
7ee68052-0065-4eaa-a252-784fef9b9d25,"2020-06-12, 08:16:44 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,1.36.60.155
bfef9bf4-435f-4199-a562-df348969763e,"2020-06-12, 08:14:33 PM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,1.36.60.155
95778e44-1393-4065-b108-acf44ba7638e,"2020-06-12, 08:14:18 PM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,1.36.60.155
ce9a0dd3-9d29-469d-9b2b-1d45b24c130d,"2020-06-12, 08:04:05 PM",root,ConsoleLogin,,,,us-east-1,,1.36.60.155
cb1db1c9-01e6-4ca5-a4b7-5fa4a8124977,"2020-06-12, 08:01:33 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,1.36.60.155
be321a79-2a53-4517-a7d0-6721c2a64e14,"2020-06-12, 08:01:32 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,1.36.60.155
b496d728-7f35-4646-af2f-5f2e26422402,"2020-06-12, 08:01:31 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDARMQIRGZIPZECXQLAJ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::095580927568:user/CloudTrail""}]",,us-east-1,,1.36.60.155
6746d51e-a6e1-45c0-9a06-c921b8eed429,"2020-06-12, 07:57:15 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,1.36.60.155
bc10dadf-43f4-4e89-886d-1a5a4f5d9feb,"2020-06-12, 07:57:15 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::095580927568:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPARMQIRGZIASLTIJJ4G""}]",,us-east-1,,1.36.60.155
6228ef38-09b9-4734-94c7-775cb6530179,"2020-06-12, 07:56:42 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,1.36.60.155
78fbcc81-9226-4fa5-bb2f-cfb94ac56a43,"2020-06-12, 07:56:41 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::095580927568:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPARMQIRGZIG5BDB2VCN""}]",,us-east-1,,1.36.60.155
b821f04d-57c7-4ce4-b17c-e396cd753c64,"2020-06-12, 07:56:41 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,1.36.60.155
969694db-207d-4aad-85b2-b05348b72864,"2020-06-12, 07:52:57 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,1.36.60.155
87aed39a-5ad4-48ad-9cf3-e3b079f24f7d,"2020-06-12, 07:42:23 PM",root,DeleteInternetGateway,EC2 InternetGateway,"[{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0ddff6f36288ad071""}]",,ap-east-1,Client.InvalidInternetGatewayID.NotFound,cloudformation.amazonaws.com
cad04930-fcf8-489d-b595-41bac59274e7,"2020-06-12, 07:42:23 PM",root,DeleteVpc,EC2 VPC,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-09850024a03dc0678""}]",,ap-east-1,Client.InvalidVpcID.NotFound,cloudformation.amazonaws.com
a50a60f9-06fd-4570-aa93-d831526acffa,"2020-06-12, 07:42:07 PM",root,DeleteRouteTable,EC2 RouteTable,"[{""resourceType"":""AWS::EC2::RouteTable"",""resourceName"":""rtb-004c2641d3ceb7148""}]",,ap-east-1,Client.InvalidRouteTableID.NotFound,cloudformation.amazonaws.com
bc407462-a8d1-4289-b708-df3a7bb67830,"2020-06-12, 07:42:07 PM",root,DeleteSubnet,EC2 Subnet,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-029a939715c4ca949""}]",,ap-east-1,Client.InvalidSubnetID.NotFound,cloudformation.amazonaws.com
cb496100-406d-4998-ad71-bd057b0d0d92,"2020-06-12, 07:42:07 PM",root,DetachInternetGateway,EC2 VPC and 1 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-09850024a03dc0678""},{""resourceType"":""AWS::EC2::InternetGateway"",""resourceName"":""igw-0ddff6f36288ad071""}]",,ap-east-1,Client.InvalidInternetGatewayID.NotFound,cloudformation.amazonaws.com
e30861fb-2209-48f1-a81f-bcf15ae1bc02,"2020-06-12, 07:42:07 PM",root,DeleteSubnet,EC2 Subnet,"[{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-06f5166215805b7e0""}]",,ap-east-1,Client.InvalidSubnetID.NotFound,cloudformation.amazonaws.com
